,Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm)
31,11/1/2013,33193,52.035,93221,848
123,11/1/2014,6739,8703.0,126514,98
215,11/1/2015,30622,66939.0,156096,2090
307,11/1/2016,55944,110056.0,203888,868
399,11/1/2017,60772,111304.0,250975,717
491,11/1/2018,74258,1740.0,294111,3288
